Start time:, 1647321364679223209
End time:, 1647321364683083877
Total time:, 3860668

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
manager, 0, 12, 2198, 0.056933, 183, 276, 85
manager, 1, 15, 18440, 0.477638, 1229, 2180, 296
runner, 0, 1, 45854, 1.187722, 45854, 45854, 45854
runner, 1, 13, 4237, 0.109748, 325, 500, 139
runner, 2, 12, 73351, 1.899956, 6112, 12380, 2831
runner, 3, 1, 11134, 0.288396, 11134, 11134, 11134
dict, 0, 12, 36519, 0.945924, 3043, 20471, 567
dict, 1, 19, 9381, 0.242989, 493, 1110, 144
dict, 2, 20, 75024, 1.943291, 3751, 7004, 1585
workers, 0, 20, 69635, 1.803703, 3481, 16032, 560
workers, 0, 20, 109850, 2.845363, 5492, 51914, 295
workers, 0, 20, 134820, 3.492142, 6741, 69434, 506
workers, 0, 20, 64516, 1.671110, 3225, 15907, 652
workers, 0, 20, 77315, 2.002633, 3865, 20450, 630
workers, 0, 20, 96694, 2.504592, 4834, 44427, 503
workers, 0, 20, 109016, 2.823760, 5450, 58947, 470
workers, 0, 20, 61051, 1.581358, 3052, 13114, 529
workers, 0, 20, 295776, 7.661265, 14788, 112672, 334
workers, 0, 20, 249780, 6.469865, 12489, 109688, 485
workers, 0, 20, 66270, 1.716542, 3313, 11674, 582
workers, 0, 20, 267166, 6.920201, 13358, 108092, 522
workers, 0, 20, 105412, 2.730408, 5270, 14167, 620
workers, 0, 20, 234592, 6.076461, 11729, 106041, 322
workers, 0, 20, 81132, 2.101502, 4056, 17793, 160
workers, 0, 20, 244448, 6.331754, 12222, 113449, 240
workers, 0, 20, 47387, 1.227430, 2369, 7023, 193
workers, 0, 20, 68397, 1.771636, 3419, 29698, 201
workers, 0, 20, 46257, 1.198161, 2312, 8018, 249
workers, 0, 20, 73408, 1.901433, 3670, 28367, 212

Schedule calls
Trigger, Occurrences
runner.nextIteration, 13
runner.done, 1
dict.sendAnswers, 20
