Start time:, 1647331092709934807
End time:, 1647331092715827097
Total time:, 5892290

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
arbitrator, 0, 1, 47841, 0.811925, 47841, 47841, 47841
arbitrator, 1, 12, 3929, 0.066680, 327, 537, 129
arbitrator, 2, 38, 30330, 0.514740, 798, 1747, 281
arbitrator, 3, 27, 13566, 0.230233, 502, 1206, 207
arbitrator, 4, 39, 72211, 1.225517, 1851, 3343, 945
arbitrator, 5, 27, 37482, 0.636119, 1388, 4040, 230
philosophers, 0, 12, 3126, 0.053052, 260, 480, 116
philosophers, 1, 14, 5540, 0.094021, 395, 1374, 109
philosophers, 2, 13, 3901, 0.066205, 300, 805, 163
philosophers, 0, 12, 3407, 0.057821, 283, 492, 126
philosophers, 1, 13, 3777, 0.064101, 290, 527, 154
philosophers, 2, 14, 4779, 0.081106, 341, 1030, 173
philosophers, 0, 12, 4346, 0.073757, 362, 1076, 115
philosophers, 1, 14, 5634, 0.095616, 402, 800, 122
philosophers, 2, 13, 3503, 0.059451, 269, 446, 67
philosophers, 0, 12, 3692, 0.062658, 307, 552, 158
philosophers, 1, 13, 6663, 0.113080, 512, 1114, 112
philosophers, 2, 14, 3816, 0.064763, 272, 564, 100
philosophers, 0, 12, 3909, 0.066341, 325, 937, 104
philosophers, 1, 14, 6262, 0.106274, 447, 953, 82
philosophers, 2, 13, 4172, 0.070804, 320, 700, 69
philosophers, 0, 12, 3556, 0.060350, 296, 506, 127
philosophers, 1, 13, 6797, 0.115354, 522, 1260, 193
philosophers, 2, 14, 3503, 0.059451, 250, 586, 88
philosophers, 0, 12, 3382, 0.057397, 281, 440, 42
philosophers, 1, 14, 6049, 0.102660, 432, 869, 138
philosophers, 2, 13, 3856, 0.065441, 296, 533, 76
philosophers, 0, 12, 5138, 0.087199, 428, 887, 67
philosophers, 1, 13, 5979, 0.101472, 459, 830, 130
philosophers, 2, 14, 3692, 0.062658, 263, 534, 94
philosophers, 0, 12, 2836, 0.048131, 236, 567, 40
philosophers, 1, 14, 8616, 0.146225, 615, 1287, 114
philosophers, 2, 13, 3236, 0.054919, 248, 496, 103
philosophers, 0, 12, 3690, 0.062624, 307, 684, 79
philosophers, 1, 13, 5660, 0.096058, 435, 795, 142
philosophers, 2, 14, 5802, 0.098468, 414, 2294, 76
philosophers, 0, 12, 3703, 0.062845, 308, 678, 101
philosophers, 1, 14, 7696, 0.130611, 549, 1129, 127
philosophers, 2, 13, 3066, 0.052034, 235, 493, 86
philosophers, 0, 12, 3557, 0.060367, 296, 713, 144
philosophers, 1, 13, 5257, 0.089218, 404, 836, 147
philosophers, 2, 14, 3580, 0.060757, 255, 500, 66
philosophers, 0, 12, 4399, 0.074657, 366, 1000, 106
philosophers, 1, 14, 6062, 0.102880, 433, 973, 96
philosophers, 2, 13, 4020, 0.068225, 309, 447, 111
philosophers, 0, 12, 2906, 0.049319, 242, 475, 121
philosophers, 1, 13, 4757, 0.080733, 365, 812, 100
philosophers, 2, 14, 3734, 0.063371, 266, 450, 106
philosophers, 0, 12, 3959, 0.067189, 329, 675, 144
philosophers, 1, 14, 6307, 0.107038, 450, 1040, 119
philosophers, 2, 13, 3455, 0.058636, 265, 441, 98
philosophers, 0, 12, 4116, 0.069854, 343, 907, 149
philosophers, 1, 13, 5080, 0.086214, 390, 733, 130
philosophers, 2, 14, 3278, 0.055632, 234, 473, 101
philosophers, 0, 12, 3399, 0.057686, 283, 687, 122
philosophers, 1, 14, 4996, 0.084789, 356, 667, 125
philosophers, 2, 13, 2874, 0.048776, 221, 500, 76
philosophers, 0, 12, 4026, 0.068327, 335, 894, 100
philosophers, 1, 13, 5956, 0.101081, 458, 1580, 149
philosophers, 2, 14, 3423, 0.058093, 244, 447, 98
philosophers, 0, 12, 3724, 0.063201, 310, 466, 145
philosophers, 1, 14, 5233, 0.088811, 373, 622, 91
philosophers, 2, 13, 3136, 0.053222, 241, 514, 85
philosophers, 0, 12, 3179, 0.053952, 264, 497, 129
philosophers, 1, 13, 4052, 0.068768, 311, 773, 90
philosophers, 2, 14, 3661, 0.062132, 261, 420, 103
runner, 0, 1, 57834, 0.981520, 57834, 57834, 57834
runner, 1, 13, 4934, 0.083737, 379, 495, 236
runner, 2, 12, 73742, 1.251500, 6145, 26693, 2251
runner, 3, 1, 19902, 0.337763, 19902, 19902, 19902

Schedule calls
Trigger, Occurrences
arbitrator.send_replies, 39
runner.nextIteration, 13
runner.done, 1
