Start time:, 1647416854921849674
End time:, 1647416854923079320
Total time:, 1229646

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
manager, 0, 12, 2190, 0.178100, 182, 729, 37
manager, 1, 14, 248051, 20.172554, 17717, 239470, 201
runner, 0, 1, 63167, 5.137007, 63167, 63167, 63167
runner, 1, 13, 3467, 0.281951, 266, 531, 78
runner, 2, 12, 55326, 4.499344, 4610, 14994, 977
runner, 3, 1, 5496, 0.446958, 5496, 5496, 5496
dict, 0, 12, 12329, 1.002646, 1027, 3600, 228
dict, 1, 14, 3907, 0.317734, 279, 628, 73
dict, 2, 15, 43074, 3.502959, 2871, 11371, 914
workers, 0, 15, 9271, 0.753957, 618, 2019, 140
workers, 0, 15, 88031, 7.159052, 5868, 65311, 110
workers, 0, 15, 33864, 2.753963, 2257, 5407, 105
workers, 0, 15, 35672, 2.900998, 2378, 5305, 110
workers, 0, 15, 95019, 7.727346, 6334, 63633, 173
workers, 0, 15, 89195, 7.253714, 5946, 65397, 352
workers, 0, 15, 32795, 2.667028, 2186, 6309, 581
workers, 0, 15, 19860, 1.615099, 1324, 2898, 394
workers, 0, 15, 29895, 2.431188, 1993, 8650, 411
workers, 0, 15, 32188, 2.617664, 2145, 8351, 217
workers, 0, 15, 32859, 2.672232, 2190, 6638, 525
workers, 0, 15, 30534, 2.483154, 2035, 7325, 566
workers, 0, 15, 40777, 3.316158, 2718, 7310, 540
workers, 0, 15, 33430, 2.718669, 2228, 5243, 490
workers, 0, 15, 36247, 2.947759, 2416, 6448, 546
workers, 0, 15, 30439, 2.475428, 2029, 6061, 363
workers, 0, 15, 34455, 2.802026, 2297, 6943, 376
workers, 0, 15, 33231, 2.702485, 2215, 5504, 166
workers, 0, 15, 31873, 2.592047, 2124, 6343, 116
workers, 0, 15, 27159, 2.208684, 1810, 5444, 176

Schedule calls
Trigger, Occurrences
NO TRIGGER, 2
runner.nextIteration, 13
runner.done, 1
dict.sendAnswers, 14
