Start time:, 1647415939225549635
End time:, 1647415939228973879
Total time:, 3424244

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
arbitrator, 0, 1, 40357, 1.178567, 40357, 40357, 40357
arbitrator, 1, 12, 2855, 0.083376, 237, 617, 105
arbitrator, 2, 77, 44509, 1.299820, 578, 1460, 173
arbitrator, 3, 66, 26300, 0.768053, 398, 758, 142
arbitrator, 4, 78, 108123, 3.157573, 1386, 19390, 359
arbitrator, 5, 27, 18307, 0.534629, 678, 3076, 130
philosophers, 0, 12, 2586, 0.075520, 215, 363, 69
philosophers, 1, 34, 11248, 0.328481, 330, 713, 102
philosophers, 2, 32, 6962, 0.203315, 217, 400, 63
philosophers, 0, 12, 2876, 0.083989, 239, 496, 109
philosophers, 1, 32, 10078, 0.294313, 314, 757, 98
philosophers, 2, 34, 7671, 0.224020, 225, 384, 75
philosophers, 0, 12, 3111, 0.090852, 259, 405, 104
philosophers, 1, 34, 14896, 0.435016, 438, 901, 156
philosophers, 2, 32, 9537, 0.278514, 298, 660, 88
philosophers, 0, 12, 3191, 0.093188, 265, 436, 106
philosophers, 1, 32, 14014, 0.409258, 437, 803, 126
philosophers, 2, 34, 9584, 0.279887, 281, 466, 60
philosophers, 0, 12, 2800, 0.081770, 233, 406, 82
philosophers, 1, 34, 15462, 0.451545, 454, 895, 136
philosophers, 2, 32, 8991, 0.262569, 280, 543, 53
philosophers, 0, 12, 3127, 0.091319, 260, 429, 81
philosophers, 1, 32, 21317, 0.622532, 666, 6942, 160
philosophers, 2, 34, 8895, 0.259765, 261, 463, 96
philosophers, 0, 12, 3866, 0.112901, 322, 686, 120
philosophers, 1, 34, 15551, 0.454144, 457, 976, 93
philosophers, 2, 32, 8622, 0.251793, 269, 509, 52
philosophers, 0, 12, 3290, 0.096080, 274, 583, 112
philosophers, 1, 32, 15428, 0.450552, 482, 1064, 126
philosophers, 2, 34, 9504, 0.277550, 279, 453, 49
philosophers, 0, 12, 4132, 0.120669, 344, 427, 253
philosophers, 1, 34, 16869, 0.492634, 496, 1086, 84
philosophers, 2, 32, 8665, 0.253049, 270, 567, 52
philosophers, 0, 12, 3742, 0.109280, 311, 644, 70
philosophers, 1, 32, 16521, 0.482471, 516, 1127, 85
philosophers, 2, 34, 10469, 0.305732, 307, 653, 113
philosophers, 0, 12, 3209, 0.093714, 267, 394, 104
philosophers, 1, 34, 15768, 0.460481, 463, 1000, 89
philosophers, 2, 32, 7968, 0.232694, 249, 437, 61
philosophers, 0, 12, 3828, 0.111791, 319, 533, 92
philosophers, 1, 32, 19122, 0.558430, 597, 3866, 89
philosophers, 2, 34, 14627, 0.427160, 430, 4277, 157
philosophers, 0, 12, 2435, 0.071111, 202, 469, 49
philosophers, 1, 34, 14744, 0.430577, 433, 1084, 95
philosophers, 2, 32, 7957, 0.232372, 248, 450, 62
philosophers, 0, 12, 2804, 0.081887, 233, 487, 62
philosophers, 1, 32, 13639, 0.398307, 426, 1020, 85
philosophers, 2, 34, 10052, 0.293554, 295, 494, 96
philosophers, 0, 12, 3100, 0.090531, 258, 451, 85
philosophers, 1, 34, 13880, 0.405345, 408, 1166, 97
philosophers, 2, 32, 9458, 0.276207, 295, 731, 72
philosophers, 0, 12, 3034, 0.088603, 252, 483, 53
philosophers, 1, 32, 12068, 0.352428, 377, 934, 87
philosophers, 2, 34, 8655, 0.252757, 254, 490, 49
philosophers, 0, 12, 3049, 0.089042, 254, 549, 53
philosophers, 1, 34, 11388, 0.332570, 334, 960, 85
philosophers, 2, 32, 11494, 0.335665, 359, 3703, 61
philosophers, 0, 12, 3506, 0.102388, 292, 597, 121
philosophers, 1, 32, 13108, 0.382800, 409, 998, 84
philosophers, 2, 34, 8458, 0.247003, 248, 480, 64
philosophers, 0, 12, 3539, 0.103351, 294, 608, 92
philosophers, 1, 34, 10913, 0.318698, 320, 698, 86
philosophers, 2, 32, 7720, 0.225451, 241, 610, 66
philosophers, 0, 12, 3317, 0.096868, 276, 442, 228
philosophers, 1, 32, 11330, 0.330876, 354, 773, 85
philosophers, 2, 34, 8461, 0.247091, 248, 612, 54
runner, 0, 1, 28161, 0.822401, 28161, 28161, 28161
runner, 1, 13, 2979, 0.086997, 229, 477, 93
runner, 2, 12, 59766, 1.745378, 4980, 36363, 995
runner, 3, 1, 17621, 0.514595, 17621, 17621, 17621

Schedule calls
Trigger, Occurrences
arbitrator.send_replies, 78
runner.nextIteration, 13
runner.done, 1
