Start time:, 1647332382314603113
End time:, 1647332382318609703
Total time:, 4006590

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
Throughput, 0, 1, 2008, 0.050117, 2008, 2008, 2008
runner, 0, 1, 19387, 0.483878, 19387, 19387, 19387
runner, 1, 15, 6561, 0.163755, 437, 1150, 226
runner, 2, 15, 317047, 7.913138, 21136, 66973, 1523
runner, 3, 2, 49001, 1.223010, 24500, 25178, 23823
producer, 0, 33, 31534, 0.787053, 955, 2316, 326
worker, 0, 22, 2328, 0.058104, 105, 224, 67
worker, 0, 22, 3471, 0.086632, 157, 475, 53
worker, 0, 22, 2798, 0.069835, 127, 723, 52
worker, 0, 22, 2600, 0.064893, 118, 320, 52
worker, 0, 22, 2918, 0.072830, 132, 300, 54
worker, 0, 22, 2728, 0.068088, 124, 376, 52
worker, 0, 22, 2735, 0.068263, 124, 236, 31
worker, 0, 22, 3917, 0.097764, 178, 684, 54
worker, 0, 22, 2426, 0.060550, 110, 317, 33
worker, 0, 22, 3220, 0.080368, 146, 393, 51
worker, 0, 22, 3270, 0.081616, 148, 580, 56
worker, 0, 22, 3664, 0.091449, 166, 661, 52
worker, 0, 22, 4056, 0.101233, 184, 833, 31
worker, 0, 22, 9779, 0.244073, 444, 6341, 31
worker, 0, 22, 3392, 0.084661, 154, 461, 33
worker, 0, 22, 3347, 0.083537, 152, 542, 33
worker, 0, 22, 2654, 0.066241, 120, 396, 33
worker, 0, 22, 3119, 0.077847, 141, 280, 34
worker, 0, 22, 4194, 0.104678, 190, 580, 31
worker, 0, 22, 3467, 0.086532, 157, 310, 34
worker, 0, 22, 16078, 0.401289, 730, 12237, 57
worker, 0, 22, 4183, 0.104403, 190, 320, 57
worker, 0, 22, 3443, 0.085933, 156, 319, 56
worker, 0, 22, 3716, 0.092747, 168, 560, 58
worker, 0, 22, 3662, 0.091399, 166, 508, 54
worker, 0, 22, 3985, 0.099461, 181, 384, 53
worker, 0, 22, 3461, 0.086383, 157, 305, 56
worker, 0, 22, 4056, 0.101233, 184, 607, 54
worker, 0, 22, 3199, 0.079843, 145, 260, 53
worker, 0, 22, 3282, 0.081915, 149, 293, 32
worker, 0, 22, 4246, 0.105975, 193, 756, 34
worker, 0, 22, 3409, 0.085085, 154, 272, 33
worker, 0, 22, 3835, 0.095717, 174, 297, 52
worker, 0, 22, 3696, 0.092248, 168, 304, 33
worker, 0, 22, 4036, 0.100734, 183, 338, 36
worker, 0, 22, 4544, 0.113413, 206, 817, 32
worker, 0, 22, 5160, 0.128788, 234, 472, 33
worker, 0, 22, 4010, 0.100085, 182, 320, 33
worker, 0, 22, 4188, 0.104528, 190, 626, 33
worker, 0, 22, 4090, 0.102082, 185, 520, 31
worker, 0, 22, 4939, 0.123272, 224, 508, 34
worker, 0, 22, 5205, 0.129911, 236, 1049, 44
worker, 0, 22, 5115, 0.127665, 232, 406, 82
worker, 0, 22, 4996, 0.124695, 227, 566, 83
worker, 0, 22, 15826, 0.394999, 719, 12051, 58
worker, 0, 22, 4749, 0.118530, 215, 366, 55
worker, 0, 22, 4440, 0.110817, 201, 696, 31
worker, 0, 22, 5212, 0.130086, 236, 687, 33
worker, 0, 22, 4431, 0.110593, 201, 464, 57
worker, 0, 22, 4706, 0.117456, 213, 308, 102
worker, 0, 22, 4300, 0.107323, 195, 578, 33
worker, 0, 22, 3891, 0.097115, 176, 437, 32
worker, 0, 22, 4259, 0.106300, 193, 293, 45
worker, 0, 22, 3820, 0.095343, 173, 310, 30
worker, 0, 22, 4422, 0.110368, 201, 504, 34
worker, 0, 22, 7878, 0.196626, 358, 3414, 32
worker, 0, 22, 4898, 0.122249, 222, 367, 90
worker, 0, 22, 5101, 0.127315, 231, 575, 30
worker, 0, 22, 7111, 0.177483, 323, 2834, 85
worker, 0, 22, 5285, 0.131908, 240, 793, 32

Schedule calls
Trigger, Occurrences
runner.nextIteration, 16
runner.done, 3
producer.send_next_msg, 9
